Id,Geographic Code,Geographic Value,Year,Sex,Rate,Low,High
25257624,COUNTRY,Afghanistan,2003,Male,2757.019,2297.258,3216.781
25257625,COUNTRY,Afghanistan,2013,Female,931.9866,795.185,1068.788
25257626,COUNTRY,Afghanistan,2019,Both sexes,6033.163,5226.856,6846.281
25257627,COUNTRY,Afghanistan,2017,Male,4433.12,3825.205,5043.436
25257628,COUNTRY,Afghanistan,2004,Female,850.7407,710.5734,990.6816
25257629,COUNTRY,Afghanistan,2006,Both sexes,3982,3344,4620
25257630,COUNTRY,Afghanistan,2002,Male,2637.248,2189.753,3083.961
25257631,COUNTRY,Afghanistan,2009,Male,3214.975,2720.363,3710.372
25257632,COUNTRY,Afghanistan,2000,Both sexes,3044.351,2508.431,3581.289
25257633,COUNTRY,Afghanistan,2010,Male,3306.464,2801.822,3811.891
25257634,COUNTRY,Afghanistan,2002,Female,733.7519,609.247,858.0392
25257635,COUNTRY,Afghanistan,2004,Both sexes,3757,3138,4375
25257636,COUNTRY,Afghanistan,2003,Both sexes,3556,2963,4149
25257637,COUNTRY,Afghanistan,2001,Male,2560.03,2118.343,3000.919
25257638,COUNTRY,Afghanistan,2008,Both sexes,4161.023,3509.802,4812.244
25257639,COUNTRY,Afghanistan,2001,Female,705.0228,583.3838,826.4421
25257640,COUNTRY,Afghanistan,2013,Male,3574.501,3049.818,4099.183
25257641,COUNTRY,Afghanistan,2015,Both sexes,4942.425,4247.553,5637.296
25257642,COUNTRY,Afghanistan,2006,Male,3101.345,2604.444,3598.245
25257643,COUNTRY,Afghanistan,2019,Male,4852.877,4204.311,5506.923
25257644,COUNTRY,Afghanistan,2011,Male,3376.505,2860.617,3893.18
25257645,COUNTRY,Afghanistan,2007,Both sexes,4053.116,3412.729,4694.501
25257646,COUNTRY,Afghanistan,2016,Female,1001.271,862.0888,1140.645
25257647,COUNTRY,Afghanistan,2012,Both sexes,4295.699,3650.495,4941.901
25257648,COUNTRY,Afghanistan,2000,Male,2380.402,1961.362,2800.239
25257649,COUNTRY,Afghanistan,2005,Male,3023.578,2534.024,3513.131
25257650,COUNTRY,Afghanistan,2012,Female,890.2178,756.5092,1024.133
25257651,COUNTRY,Afghanistan,2005,Both sexes,3891,3261,4521
25257652,COUNTRY,Afghanistan,2012,Male,3405.481,2893.986,3917.768
25257653,COUNTRY,Afghanistan,2018,Both sexes,5295.195,4578.289,6016.524
25257654,COUNTRY,Afghanistan,2008,Female,896.3592,756.0745,1036.644
25257655,COUNTRY,Afghanistan,2011,Female,905.0918,766.8051,1043.59
25257656,COUNTRY,Afghanistan,2008,Male,3264.664,2753.727,3775.6
25257657,COUNTRY,Afghanistan,2015,Female,961.4418,826.2695,1096.614
25258498,COUNTRY,Angola,2003,Male,2549.261,2063.024,3035.497
25258499,COUNTRY,Angola,2019,Male,5397.138,4100.237,6692.074
25258500,COUNTRY,Angola,2017,Female,2680.896,2073.959,3287.258
25258501,COUNTRY,Angola,2013,Male,3583.559,2846.1,4321.646
25258502,COUNTRY,Angola,2009,Both sexes,6155.227,4924.182,7385.164
25258503,COUNTRY,Angola,2000,Female,1837.252,1483.792,2190.712
25258504,COUNTRY,Angola,2007,Both sexes,5323.971,4265.478,6382.465
25258505,COUNTRY,Angola,2006,Female,2121.713,1704.397,2539.457
25258506,COUNTRY,Angola,2015,Both sexes,6586.281,5181.747,7989.779
25258507,COUNTRY,Angola,2016,Male,4530.159,3535.084,5524.568
25258508,COUNTRY,Angola,2001,Female,1872.978,1511.928,2234.029
25258509,COUNTRY,Angola,2014,Female,2376.073,1883.708,2868.832
25258510,COUNTRY,Angola,2009,Female,2400.692,1920.553,2880.397
25258511,COUNTRY,Angola,2006,Male,2830.287,2273.603,3387.543
25258512,COUNTRY,Angola,2001,Both sexes,4269.057,3446.119,5091.995
25258513,COUNTRY,Angola,2016,Both sexes,7137.264,5569.523,8703.955
25258514,COUNTRY,Angola,2012,Both sexes,5812.964,4611.625,7014.303
25258515,COUNTRY,Angola,2010,Female,2399.31,1912.021,2886.599
25258516,COUNTRY,Angola,2017,Both sexes,7595.796,5876.158,9313.804
25258517,COUNTRY,Angola,2004,Female,2074.69,1682.647,2467.175
25258518,COUNTRY,Angola,2018,Female,2773.241,2126.123,3419.558
25258519,COUNTRY,Angola,2005,Female,2209.326,1779.42,2639.232
25258520,COUNTRY,Angola,2019,Both sexes,8316.654,6318.21,10312.07
25258521,COUNTRY,Angola,2016,Female,2607.105,2034.439,3179.387
25258522,COUNTRY,Angola,2015,Male,4108.97,3232.726,4984.568
25258523,COUNTRY,Angola,2013,Female,2233.408,1773.796,2693.412
25258524,COUNTRY,Angola,2019,Female,2919.516,2217.973,3619.996
25258525,COUNTRY,Angola,2001,Male,2396.079,1934.191,2857.966
25258526,COUNTRY,Angola,2002,Female,1924.974,1558.867,2291.082
25258527,COUNTRY,Angola,2000,Both sexes,4109.832,3319.161,4900.503
25258528,COUNTRY,Angola,2003,Both sexes,4577,3704,5450
25258529,COUNTRY,Angola,2002,Male,2523.201,2043.317,3003.084
25258530,COUNTRY,Angola,2014,Male,3871.635,3069.363,4674.55
25258531,COUNTRY,Angola,2004,Male,2778.13,2253.162,3303.691
25258532,COUNTRY,Angola,2018,Both sexes,8008.945,6140.107,9875.465
25258533,COUNTRY,Angola,2007,Female,2197.082,1760.265,2633.898
25258534,COUNTRY,Angola,2018,Male,5235.704,4013.985,6455.908
25258535,COUNTRY,Angola,2017,Male,4914.9,3802.199,6026.545
25258536,COUNTRY,Angola,2004,Both sexes,4852.82,3935.809,5770.866
25258537,COUNTRY,Angola,2006,Both sexes,4952,3978,5927
25258538,COUNTRY,Angola,2000,Male,2272.58,1835.369,2709.791
25258539,COUNTRY,Angola,2003,Female,2027.739,1640.976,2414.503
25258540,COUNTRY,Angola,2010,Male,3626.038,2889.606,4362.47
25258541,COUNTRY,Angola,2012,Male,3614.482,2867.493,4361.47
25258542,COUNTRY,Angola,2011,Male,3847.864,3058.704,4637.024
25258543,COUNTRY,Angola,2002,Both sexes,4448.175,3602.184,5294.166
25258544,COUNTRY,Angola,2005,Male,2854.609,2299.139,3410.078
25258545,COUNTRY,Angola,2011,Both sexes,6149.375,4888.197,7410.552
25258546,COUNTRY,Angola,2008,Male,3146.003,2514.768,3777.238
25258547,COUNTRY,Angola,2011,Female,2301.511,1829.493,2773.528
25258548,COUNTRY,Angola,2005,Both sexes,5063.935,4078.56,6049.31
25258549,COUNTRY,Angola,2008,Female,2270.103,1814.615,2725.592
25258550,COUNTRY,Angola,2015,Female,2477.311,1949.021,3005.212
25258551,COUNTRY,Angola,2013,Both sexes,5816.967,4619.896,7015.058
25258552,COUNTRY,Angola,2014,Both sexes,6247.707,4953.072,7543.382
25258553,COUNTRY,Angola,2009,Male,3754.536,3003.629,4504.766
25258554,COUNTRY,Angola,2010,Both sexes,6025.348,4801.627,7249.068
25258555,COUNTRY,Angola,2012,Female,2198.483,1744.132,2652.833
25258556,COUNTRY,Angola,2007,Male,3126.89,2505.212,3748.567
25258557,COUNTRY,Angola,2008,Both sexes,5416.106,4329.383,6502.83
25259398,COUNTRY,Albania,2003,Both sexes,457,423,491
25259399,COUNTRY,Albania,2005,Male,359.648,333.9031,385.3929
25259400,COUNTRY,Albania,2015,Female,92.23532,85.28291,99.18773
25259401,COUNTRY,Albania,2008,Female,102.5882,95.27736,109.8991
25259402,COUNTRY,Albania,2016,Both sexes,399,369,428
25259403,COUNTRY,Albania,2015,Both sexes,398,368,428
25259404,COUNTRY,Albania,2004,Both sexes,455,421,488
25259405,COUNTRY,Albania,2005,Both sexes,461,428,494
25259406,COUNTRY,Albania,2009,Both sexes,428,397,459
25259407,COUNTRY,Albania,2019,Female,78.18077,72.14131,83.92468
25259408,COUNTRY,Albania,2000,Both sexes,449,413,485
25259409,COUNTRY,Albania,2011,Female,144.9431,133.8735,155.6668
25259410,COUNTRY,Albania,2003,Male,357.7133,331.1,384.3265
25259411,COUNTRY,Albania,2019,Both sexes,337.0614,311.0234,361.8251
25259412,COUNTRY,Albania,2018,Both sexes,316.8953,292.5225,340.3264
25259413,COUNTRY,Albania,2010,Both sexes,415,384,446
25259414,COUNTRY,Albania,2014,Both sexes,394,363,425
25259415,COUNTRY,Albania,2012,Male,313.1998,290.6618,335.7377
25259416,COUNTRY,Albania,2000,Female,94.34245,86.77825,101.9067
25259417,COUNTRY,Albania,2000,Male,354.6575,326.2218,383.0933
25259418,COUNTRY,Albania,2017,Female,74.64268,68.92712,80.1968
25259419,COUNTRY,Albania,2009,Male,325.184,301.631,348.7371
25259420,COUNTRY,Albania,2012,Both sexes,403,374,432
25259421,COUNTRY,Albania,2010,Female,104.2787,96.48918,112.0682
25259422,COUNTRY,Albania,2014,Male,306.9535,282.8024,331.1047
25259423,COUNTRY,Albania,2013,Male,314.7473,291.317,338.9586
25259424,COUNTRY,Albania,2012,Female,89.8002,83.33815,96.26225
25259425,COUNTRY,Albania,2002,Female,97.10096,89.81303,104.6032
25259426,COUNTRY,Albania,2015,Male,305.7647,282.7171,328.8123
25259427,COUNTRY,Albania,2007,Male,343.88,319.3718,369.154
25259428,COUNTRY,Albania,2017,Male,255.2165,235.674,274.207
25259429,COUNTRY,Albania,2007,Both sexes,449,417,482
25259430,COUNTRY,Albania,2013,Female,88.25272,81.68304,95.04139
25259431,COUNTRY,Albania,2019,Male,258.8806,238.8821,277.9004
25259432,COUNTRY,Albania,2008,Both sexes,435,404,466
25259433,COUNTRY,Albania,2007,Female,105.12,97.62816,112.846
25259434,COUNTRY,Albania,2018,Male,244.5298,225.7228,262.6103
25259435,COUNTRY,Albania,2016,Female,90.11711,83.34138,96.66697
25259436,COUNTRY,Albania,2011,Male,274.0569,253.1265,294.3332
25259437,COUNTRY,Albania,2002,Male,355.899,329.187,383.3968
25259438,COUNTRY,Albania,2001,Female,97.58739,90.49403,104.8957
25259439,COUNTRY,Albania,2010,Male,310.7213,287.5108,333.9318
25259440,COUNTRY,Albania,2006,Male,346.5336,322.2154,370.8517
25259441,COUNTRY,Albania,2011,Both sexes,419,387,450
25259442,COUNTRY,Albania,2004,Male,358.4208,331.6377,384.4162
25259443,COUNTRY,Albania,2003,Female,99.28674,91.89998,106.6735
25259444,COUNTRY,Albania,2001,Both sexes,454,421,488
25259445,COUNTRY,Albania,2001,Male,356.4126,330.506,383.1043
25259446,COUNTRY,Albania,2016,Male,308.8829,285.6586,331.333
25259447,COUNTRY,Albania,2008,Male,332.4118,308.7226,356.1009
25259448,COUNTRY,Albania,2009,Female,102.816,95.36902,110.2629
25259449,COUNTRY,Albania,2013,Both sexes,403,373,434
25259450,COUNTRY,Albania,2002,Both sexes,453,419,488
25259451,COUNTRY,Albania,2004,Female,96.57917,89.36226,103.5838
25259452,COUNTRY,Albania,2005,Female,101.352,94.09688,108.6071
25259453,COUNTRY,Albania,2006,Female,109.4664,101.7846,117.1483
25259454,COUNTRY,Albania,2006,Both sexes,456,424,488
25259455,COUNTRY,Albania,2017,Both sexes,329.8592,304.6011,354.4038
25259456,COUNTRY,Albania,2014,Female,87.04648,80.19764,93.89531
25259457,COUNTRY,Albania,2018,Female,72.36546,66.79975,77.71613
25260298,COUNTRY,United Arab Emirates,2017,Male,1051.516,900.3642,1200.381
25260299,COUNTRY,United Arab Emirates,2010,Both sexes,1659,1404,1914
25260300,COUNTRY,United Arab Emirates,2016,Female,260.6687,222.7645,298.2621
25260301,COUNTRY,United Arab Emirates,2018,Female,176.1614,151.0875,200.6502
25260302,COUNTRY,United Arab Emirates,2018,Both sexes,1084.972,930.5428,1235.798
25260303,COUNTRY,United Arab Emirates,2018,Male,908.8105,779.4553,1035.148
25260304,COUNTRY,United Arab Emirates,2017,Both sexes,1257.938,1077.115,1436.028
25260305,COUNTRY,United Arab Emirates,2000,Male,415.7806,362.7727,468.7884
25260306,COUNTRY,United Arab Emirates,2014,Female,226.6826,193.1513,260.3525
25260307,COUNTRY,United Arab Emirates,2010,Female,178.0433,150.6768,205.4098
25260308,COUNTRY,United Arab Emirates,2005,Male,734.6938,639.4239,829.1054
25260309,COUNTRY,United Arab Emirates,2003,Both sexes,900,788,1012
25260310,COUNTRY,United Arab Emirates,2002,Female,129.83,113.8099,145.8502
25260311,COUNTRY,United Arab Emirates,2001,Male,433.6792,379.677,486.8506
25260312,COUNTRY,United Arab Emirates,2014,Both sexes,1636,1394,1879
25260313,COUNTRY,United Arab Emirates,2019,Male,729.6723,626.8446,829.2398
25260314,COUNTRY,United Arab Emirates,2019,Female,140.7109,120.8815,159.9116
25260315,COUNTRY,United Arab Emirates,2001,Both sexes,522,457,586
25260316,COUNTRY,United Arab Emirates,2013,Both sexes,1623,1379,1867
25260317,COUNTRY,United Arab Emirates,2011,Both sexes,1710,1447,1974
25260318,COUNTRY,United Arab Emirates,2008,Male,1132.357,966.0168,1297.807
25260319,COUNTRY,United Arab Emirates,2002,Male,648.17,568.1901,728.1498
25260320,COUNTRY,United Arab Emirates,2004,Male,722.3873,629.7517,814.173
25260321,COUNTRY,United Arab Emirates,2012,Male,1443.437,1225.377,1660.615
25260322,COUNTRY,United Arab Emirates,2019,Both sexes,870.3833,747.7262,989.1514
25260323,COUNTRY,United Arab Emirates,2003,Female,145.0725,127.019,163.1259
25260324,COUNTRY,United Arab Emirates,2000,Both sexes,502,438,566
25260325,COUNTRY,United Arab Emirates,2009,Both sexes,1506,1281,1730
25260326,COUNTRY,United Arab Emirates,2001,Female,88.32075,77.32296,99.14935
25260327,COUNTRY,United Arab Emirates,2000,Female,86.21944,75.22732,97.21156
25260328,COUNTRY,United Arab Emirates,2016,Male,1417.331,1211.235,1621.738
25260329,COUNTRY,United Arab Emirates,2008,Both sexes,1273,1086,1459
25260330,COUNTRY,United Arab Emirates,2002,Both sexes,778,682,874
25260331,COUNTRY,United Arab Emirates,2016,Both sexes,1678,1434,1920
25260332,COUNTRY,United Arab Emirates,2006,Male,792.8568,686.5617,900.0231
25260333,COUNTRY,United Arab Emirates,2011,Male,1520.372,1286.537,1755.096
25260334,COUNTRY,United Arab Emirates,2009,Female,160.7553,136.7381,184.6658
25260335,COUNTRY,United Arab Emirates,2006,Both sexes,910,788,1033
25260336,COUNTRY,United Arab Emirates,2007,Male,965.0665,825.0477,1105.085
25260337,COUNTRY,United Arab Emirates,2015,Both sexes,1676,1431,1921
25260338,COUNTRY,United Arab Emirates,2004,Both sexes,850,741,958
25260339,COUNTRY,United Arab Emirates,2013,Female,207.1084,175.9719,238.2448
25260340,COUNTRY,United Arab Emirates,2004,Female,127.6127,111.2483,143.827
25260341,COUNTRY,United Arab Emirates,2017,Female,206.4229,176.7504,235.6466
25260342,COUNTRY,United Arab Emirates,2007,Female,123.9335,105.9523,141.9147
25260343,COUNTRY,United Arab Emirates,2010,Male,1480.957,1253.323,1708.59
25260344,COUNTRY,United Arab Emirates,2015,Male,1427.223,1218.59,1635.856
25260345,COUNTRY,United Arab Emirates,2007,Both sexes,1089,931,1247
25260346,COUNTRY,United Arab Emirates,2012,Both sexes,1635,1388,1881
25260347,COUNTRY,United Arab Emirates,2012,Female,191.5626,162.6232,220.3849
25260348,COUNTRY,United Arab Emirates,2011,Female,189.6279,160.4629,218.9038
25260349,COUNTRY,United Arab Emirates,2014,Male,1409.317,1200.849,1618.648
25260350,COUNTRY,United Arab Emirates,2006,Female,117.1432,101.4383,132.9769
25260351,COUNTRY,United Arab Emirates,2005,Female,121.3062,105.5761,136.8946
25260352,COUNTRY,United Arab Emirates,2005,Both sexes,856,745,966
25260353,COUNTRY,United Arab Emirates,2009,Male,1345.245,1144.262,1545.334
25260354,COUNTRY,United Arab Emirates,2008,Female,140.6433,119.9832,161.1929
25260355,COUNTRY,United Arab Emirates,2013,Male,1415.892,1203.028,1628.755
25260356,COUNTRY,United Arab Emirates,2003,Male,754.9275,660.981,848.8741
25260357,COUNTRY,United Arab Emirates,2015,Female,248.777,212.4105,285.1436
25261198,COUNTRY,Argentina,2013,Female,1250.363,1060.414,1459.255
25261199,COUNTRY,Argentina,2016,Female,1413.94,1160.233,1695.784
25261200,COUNTRY,Argentina,2006,Female,1279.026,1076.957,1497.024
25261201,COUNTRY,Argentina,2012,Female,1155.556,975.2236,1348.131
25261202,COUNTRY,Argentina,2010,Male,4139.009,3616.455,4693.329
25261203,COUNTRY,Argentina,2007,Both sexes,5596,4843.555,6404.63
25261204,COUNTRY,Argentina,2015,Both sexes,5980,5108.764,6938.961
25261205,COUNTRY,Argentina,2008,Female,1312.734,1108.941,1529.377
25261206,COUNTRY,Argentina,2013,Male,4801.637,4178.897,5442.541
25261207,COUNTRY,Argentina,2000,Both sexes,4228,3637.26,4868.036
25261208,COUNTRY,Argentina,2002,Male,2904.263,2517.617,3320.259
25261209,COUNTRY,Argentina,2003,Both sexes,3584,3085.606,4119.089
25261210,COUNTRY,Argentina,2008,Both sexes,5938,5138.91,6779.895
25261211,COUNTRY,Argentina,2013,Both sexes,6052,5239.311,6901.797
25261212,COUNTRY,Argentina,2003,Male,2720.167,2358.284,3107.629
25261213,COUNTRY,Argentina,2004,Male,3150.178,2727.485,3605.924
25261214,COUNTRY,Argentina,2012,Both sexes,5468,4747.973,6230.073
25261215,COUNTRY,Argentina,2018,Female,1260.666,999.5385,1551.264
25261216,COUNTRY,Argentina,2015,Female,1259.429,1045.117,1500.974
25261217,COUNTRY,Argentina,2005,Female,1053.436,886.5994,1237.643
25261218,COUNTRY,Argentina,2014,Female,1207.791,1011.096,1424.63
25261219,COUNTRY,Argentina,2019,Female,1464.985,1147.538,1820.633
25261220,COUNTRY,Argentina,2019,Male,4832.54,3941.648,5812.064
25261221,COUNTRY,Argentina,2010,Female,1112.991,937.162,1300.681
25261222,COUNTRY,Argentina,2003,Female,863.833,727.3227,1011.46
25261223,COUNTRY,Argentina,2014,Both sexes,5700,4904.244,6545.321
25261224,COUNTRY,Argentina,2018,Both sexes,6021.181,4941.892,7219.596
25261225,COUNTRY,Argentina,2014,Male,4492.209,3893.149,5120.691
25261226,COUNTRY,Argentina,2008,Male,4625.266,4029.969,5250.518
25261227,COUNTRY,Argentina,2005,Both sexes,4527,3897.288,5206.448
25261228,COUNTRY,Argentina,2007,Female,1317.262,1113.757,1534.69
25261229,COUNTRY,Argentina,2018,Male,4760.515,3942.354,5668.332
25261230,COUNTRY,Argentina,2001,Female,998.0388,843.5934,1165.877
25261231,COUNTRY,Argentina,2002,Both sexes,3696,3182.931,4248.136
25261232,COUNTRY,Argentina,2006,Both sexes,5150,4436.67,5916.757
25261233,COUNTRY,Argentina,2006,Male,3870.974,3359.713,4419.733
25261234,COUNTRY,Argentina,2001,Male,3340.961,2903.366,3813.017
25261235,COUNTRY,Argentina,2009,Male,4236.129,3692.166,4803.829
25261236,COUNTRY,Argentina,2012,Male,4312.444,3772.75,4881.941
25261237,COUNTRY,Argentina,2002,Female,791.7375,665.3137,927.8774
25261238,COUNTRY,Argentina,2016,Both sexes,6119,5171.435,7175.737
25261239,COUNTRY,Argentina,2000,Female,985.8575,831.2945,1155.992
25261240,COUNTRY,Argentina,2011,Male,4465.299,3902.206,5050.71
25261241,COUNTRY,Argentina,2015,Male,4720.571,4063.647,5437.987
25261242,COUNTRY,Argentina,2005,Male,3473.564,3010.689,3968.805
25261243,COUNTRY,Argentina,2017,Male,4770.133,4005.854,5607.937
25261244,COUNTRY,Argentina,2007,Male,4278.738,3729.798,4869.94
25261245,COUNTRY,Argentina,2001,Both sexes,4339,3746.96,4978.893
25261246,COUNTRY,Argentina,2017,Female,1380.765,1111.376,1680.396
25261247,COUNTRY,Argentina,2017,Both sexes,6150.897,5117.23,7288.333
25261248,COUNTRY,Argentina,2011,Both sexes,5729,4968.989,6524.937
25261249,COUNTRY,Argentina,2009,Both sexes,5381,4655.046,6140.884
25261250,COUNTRY,Argentina,2009,Female,1144.871,962.88,1337.055
25261251,COUNTRY,Argentina,2016,Male,4705.06,4011.202,5479.953
25261252,COUNTRY,Argentina,2010,Both sexes,5252,4553.617,5994.009
25261253,COUNTRY,Argentina,2004,Female,933.8222,787.581,1098.368
25261254,COUNTRY,Argentina,2019,Both sexes,6297.525,5089.186,7632.696
25261255,COUNTRY,Argentina,2004,Both sexes,4084,3515.066,4704.292
25261256,COUNTRY,Argentina,2011,Female,1263.701,1066.784,1474.227
25261257,COUNTRY,Argentina,2000,Male,3242.142,2805.965,3712.044
25262098,COUNTRY,Armenia,2010,Male,373.5625,346.2111,400.9139
25262099,COUNTRY,Armenia,2018,Both sexes,601.8145,569.6746,635.218
25262100,COUNTRY,Armenia,2019,Both sexes,590.08,561.0758,620.896
25262101,COUNTRY,Armenia,2002,Female,175.9469,161.0567,191.1409
25262102,COUNTRY,Armenia,2001,Female,168.7867,152.8742,184.6993
25262103,COUNTRY,Armenia,2000,Both sexes,603,535,672
25262104,COUNTRY,Armenia,2016,Male,316.7702,297.0911,336.4494
25262105,COUNTRY,Armenia,2017,Female,132.9968,125.3286,140.8151
25262106,COUNTRY,Armenia,2005,Male,401.0081,373.0991,428.1827
25262107,COUNTRY,Armenia,2009,Female,122.1024,113.347,131.0944
25262108,COUNTRY,Armenia,2016,Both sexes,461,432.3607,489.6393
25262109,COUNTRY,Armenia,2018,Female,135.0232,127.8123,142.5176
25262110,COUNTRY,Armenia,2001,Male,425.2133,385.1258,465.3007
25262111,COUNTRY,Armenia,2002,Male,403.0531,368.9433,437.8591
25262112,COUNTRY,Armenia,2002,Both sexes,579,530,629
25262113,COUNTRY,Armenia,2003,Female,148.1229,136.443,160.0683
25262114,COUNTRY,Armenia,2015,Both sexes,490,458,522
25262115,COUNTRY,Armenia,2016,Female,144.2298,135.2696,153.1899
25262116,COUNTRY,Armenia,2005,Both sexes,546,508,583
25262117,COUNTRY,Armenia,2011,Both sexes,510,473,547
25262118,COUNTRY,Armenia,2013,Male,379.528,352.1957,406.8603
25262119,COUNTRY,Armenia,2013,Both sexes,486,451,521
25262120,COUNTRY,Armenia,2014,Male,365.7408,340.1013,390.6263
25262121,COUNTRY,Armenia,2011,Female,125.4547,116.3531,134.5563
25262122,COUNTRY,Armenia,2008,Male,405.8248,378.4477,433.2019
25262123,COUNTRY,Armenia,2008,Female,98.17518,91.55225,104.7981
25262124,COUNTRY,Armenia,2000,Male,463.4196,411.16,516.4477
25262125,COUNTRY,Armenia,2014,Both sexes,485,451,518
25262126,COUNTRY,Armenia,2015,Male,375.797,351.2551,400.3388
25262127,COUNTRY,Armenia,2000,Female,139.5804,123.84,155.5523
25262128,COUNTRY,Armenia,2009,Both sexes,516,479,554
25262129,COUNTRY,Armenia,2019,Female,166.9885,158.7805,175.7093
25262130,COUNTRY,Armenia,2018,Male,466.7914,441.8623,492.7004
25262131,COUNTRY,Armenia,2004,Male,400.2159,371.3194,429.8348
25262132,COUNTRY,Armenia,2004,Female,153.7841,142.6806,165.1652
25262133,COUNTRY,Armenia,2012,Female,90.78361,84.12738,97.43985
25262134,COUNTRY,Armenia,2010,Both sexes,519,481,557
25262135,COUNTRY,Armenia,2008,Both sexes,504,470,538
25262136,COUNTRY,Armenia,2007,Female,173.2118,161.7764,184.6471
25262137,COUNTRY,Armenia,2012,Male,400.2164,370.8726,429.5602
25262138,COUNTRY,Armenia,2015,Female,114.203,106.7449,121.6612
25262139,COUNTRY,Armenia,2014,Female,119.2592,110.8987,127.3737
25262140,COUNTRY,Armenia,2001,Both sexes,594,538,650
25262141,COUNTRY,Armenia,2004,Both sexes,554,514,595
25262142,COUNTRY,Armenia,2012,Both sexes,491,455,527
25262143,COUNTRY,Armenia,2009,Male,393.8976,365.653,422.9056
25262144,COUNTRY,Armenia,2003,Male,409.8771,377.557,442.9317
25262145,COUNTRY,Armenia,2006,Male,369.5331,344.3377,394.0287
25262146,COUNTRY,Armenia,2006,Female,158.4669,147.6623,168.9713
25262147,COUNTRY,Armenia,2003,Both sexes,558,514,603
25262148,COUNTRY,Armenia,2011,Male,384.5453,356.6469,412.4437
25262149,COUNTRY,Armenia,2019,Male,423.0915,402.2952,445.1868
25262150,COUNTRY,Armenia,2017,Male,349.7959,329.6277,370.3589
25262151,COUNTRY,Armenia,2007,Both sexes,515,481,549
25262152,COUNTRY,Armenia,2017,Both sexes,482.7927,454.9563,511.1741
25262153,COUNTRY,Armenia,2010,Female,145.4375,134.7889,156.0861
25262154,COUNTRY,Armenia,2013,Female,106.472,98.80427,114.1397
25262155,COUNTRY,Armenia,2007,Male,341.7882,319.2236,364.3529
25262156,COUNTRY,Armenia,2005,Female,144.9919,134.9009,154.8173
25262157,COUNTRY,Armenia,2006,Both sexes,528,492,563
25262998,COUNTRY,Antigua and Barbuda,2008,Both sexes,9.545,6.95932,12.66576
25262999,COUNTRY,Antigua and Barbuda,2014,Both sexes,0.51362,0.35544,0.70038
25263000,COUNTRY,Antigua and Barbuda,2014,Male,0,0,0
25263001,COUNTRY,Antigua and Barbuda,2012,Both sexes,0.66682,0.47351,0.90497
25263002,COUNTRY,Antigua and Barbuda,2000,Both sexes,7,5.20549,9.09495
25263003,COUNTRY,Antigua and Barbuda,2011,Female,1.38508,0.95645,1.92391
25263004,COUNTRY,Antigua and Barbuda,2007,Both sexes,6.08544,4.34243,8.17165
25263005,COUNTRY,Antigua and Barbuda,2006,Both sexes,1.95954,1.43627,2.59076
25263006,COUNTRY,Antigua and Barbuda,2001,Female,0.7259,0.54942,0.95049
25263007,COUNTRY,Antigua and Barbuda,2019,Male,0,0,0
25263008,COUNTRY,Antigua and Barbuda,2001,Both sexes,10,7.44781,13.04012
25263009,COUNTRY,Antigua and Barbuda,2003,Both sexes,8,6.07036,10.40069
25263010,COUNTRY,Antigua and Barbuda,2008,Female,0.52888,0.37756,0.71183
